symbol,buy_date,buy_price,ema_at_buy,target_price,hit_date,days_to_target,current_price,unrealized_pnl
RAMCOIND,2025-07-15 00:00:00,282.35,279.08,288.0,,,282.35,0.0
SUBROS,2025-07-15 00:00:00,929.4,925.15,947.99,,,929.4,0.0
DYCL,2025-07-15 00:00:00,472.9,472.54,482.36,,,472.9,0.0
KRBL,2025-07-15 00:00:00,379.65,378.49,387.24,,,379.65,0.0
CHOICEIN,2025-07-15 00:00:00,705.2,702.46,719.3,,,705.2,0.0
KITEX,2025-07-15 00:00:00,282.55,280.33,288.2,,,282.55,0.0
AAVAS,2025-07-15 00:00:00,1952.5,1938.93,1991.55,,,1952.5,0.0
KPRMILL,2025-07-15 00:00:00,1182.3,1162.26,1205.95,,,1182.3,0.0
ITDCEM,2025-07-15 00:00:00,863.0,857.96,880.26,,,863.0,0.0
SUNFLAG,2025-07-15 00:00:00,300.85,298.09,306.87,,,300.85,0.0
