symbol,buy_date,buy_price,target_price,hit_date,days_to_target,current_price,ema_at_buy
CUB,2025-07-14,213.86000061035156,218.1372006225586,,,217.28,
RAMCOIND,2025-07-14,281.8999938964844,287.5379937744141,,,283.0,
ENDURANCE,2025-07-14,2692.0,2745.84,,,2710.1,
MANINDS,2025-07-14,412.6000061035156,420.85200622558597,,,409.65,
ERIS,2025-07-14,1746.5,1781.43,,,1750.6,
DYCL,2025-07-14,483.25,492.915,,,470.6,
KRBL,2025-07-14,378.75,386.325,,,380.5,
AIIL,2025-07-14,2612.699951171875,2664.9539501953127,2025-07-15,1.0,2771.9,
KIRLOSBROS,2025-07-14,2153.60009765625,2196.672099609375,2025-07-15,1.0,2204.8,
ALKYLAMINE,2025-07-14,2251.10009765625,2296.1220996093753,,,2293.7,
ARIES,2025-07-14,342.6000061035156,349.45200622558593,2025-07-15,1.0,367.8,
KITEX,2025-07-14,279.45001220703125,285.03901245117186,,,283.1,
CHOICEIN,2025-07-15,706.7,720.83,,,704.9,701.28
AAVAS,2025-07-15,1952.1,1991.14,,,1946.2,1937.18
ITDCEM,2025-07-15,866.9,884.24,,,868.7,862.46
SUNFLAG,2025-07-15,299.85,305.85,,,300.8,299.08
SANDUMA,2025-07-15,477.0,486.54,,,477.35,474.42
PRIVISCL,2025-07-15,2421.7,2470.13,,,2442.0,2398.64
SANGAMIND,2025-07-15,461.0,470.22,,,463.9,452.1
