date,symbol,marketcapname,sector
25-11-2024,AEGISLOG,Largecap,Services
25-11-2024,KARURVYSYA,Largecap,Bank
25-11-2024,BEL,Largecap,Aerospace & Defence
25-11-2024,ARVIND,Midcap,Textiles
25-11-2024,EIDPARRY,Largecap,FMCG
25-11-2024,ASHOKLEY,Largecap,Auto
25-11-2024,LT,Largecap,Realty
25-11-2024,SIEMENS,Largecap,FMCG
25-11-2024,GRWRHITECH,Midcap,Services
25-11-2024,NESCO,Midcap,Realty
25-11-2024,TI,Midcap,FMCG
25-11-2024,ERIS,Largecap,Pharmaceuticals
25-11-2024,DOMS,Midcap,Miscellaneous
25-11-2024,GICRE,Largecap,Services
25-11-2024,MANORAMA,Midcap,FMCG
25-11-2024,CHALET,Midcap,Services
25-11-2024,ANUP,Midcap,Industrials
25-11-2024,WELCORP,Largecap,Metals
25-11-2024,KEC,Largecap,Realty
25-11-2024,TARIL,Midcap,FMCG
25-11-2024,ARIES,Smallcap,Industrials
25-11-2024,SCHNEIDER,Largecap,FMCG
25-11-2024,CARERATING,Midcap,Miscellaneous
25-11-2024,KRSNAA,Smallcap,Pharmaceuticals
25-11-2024,POLICYBZR,Largecap,I.T
25-11-2024,THYROCARE,Midcap,Pharmaceuticals
26-11-2024,TIRUMALCHM,Smallcap,Industrials
26-11-2024,MANGLMCEM,Smallcap,Industrials
26-11-2024,BOROLTD,Smallcap,Industrials
26-11-2024,GENESYS,Smallcap,I.T
26-11-2024,TI,Midcap,FMCG
26-11-2024,AJMERA,Smallcap,Realty
26-11-2024,IGARASHI,Smallcap,FMCG
26-11-2024,ADFFOODS,Smallcap,FMCG
26-11-2024,KFINTECH,Largecap,Financial Services
26-11-2024,WINDMACHIN,Smallcap,FMCG
26-11-2024,MARKSANS,Midcap,Pharmaceuticals
26-11-2024,CAPLIPOINT,Midcap,Pharmaceuticals
26-11-2024,EMSLIMITED,Smallcap,Realty
26-11-2024,GENUSPOWER,Midcap,FMCG
26-11-2024,ORIENTELEC,Smallcap,FMCG
26-11-2024,MARINE,Smallcap,FMCG
26-11-2024,CAMS,Largecap,Financial Services
26-11-2024,RAMCOSYS,Smallcap,I.T
26-11-2024,BIOCON,Largecap,Pharmaceuticals
26-11-2024,TRITURBINE,Largecap,FMCG
26-11-2024,CIGNITITEC,Smallcap,I.T
26-11-2024,JUBLINGREA,Midcap,Industrials
26-11-2024,SHARDACROP,Midcap,Industrials
26-11-2024,MONTECARLO,Smallcap,Textiles
27-11-2024,KIRLOSBROS,Midcap,FMCG
27-11-2024,KIRLPNU,Midcap,FMCG
27-11-2024,TI,Midcap,FMCG
27-11-2024,HARSHA,Smallcap,Auto
27-11-2024,HBLENGINE,Midcap,Auto
27-11-2024,MINDTECK,Smallcap,I.T
27-11-2024,KEI,Largecap,Industrials
27-11-2024,CCL,Midcap,FMCG
27-11-2024,ZAGGLE,Midcap,I.T
27-11-2024,CAPACITE,Smallcap,Realty
27-11-2024,ISGEC,Midcap,Realty
27-11-2024,ZENTEC,Midcap,Aerospace & Defence
27-11-2024,PGEL,Largecap,FMCG
27-11-2024,PARAS,Smallcap,Aerospace & Defence
27-11-2024,ABSLAMC,Largecap,Finance
27-11-2024,SJS,Smallcap,Auto
27-11-2024,HCG,Midcap,Pharmaceuticals
28-11-2024,AEGISLOG,Largecap,Services
28-11-2024,AGI,Midcap,Services
28-11-2024,SUDARSCHEM,Midcap,Industrials
28-11-2024,NAVA,Midcap,Miscellaneous
28-11-2024,SALZERELEC,Smallcap,FMCG
28-11-2024,SIMPLEXINF,Smallcap,Realty
28-11-2024,63MOONS,Smallcap,I.T
28-11-2024,JUBLPHARMA,Midcap,Pharmaceuticals
28-11-2024,E2E,Smallcap,I.T
28-11-2024,MARINE,Smallcap,FMCG
28-11-2024,STAR,Midcap,Pharmaceuticals
28-11-2024,SOLARINDS,Largecap,Aerospace & Defence
28-11-2024,REFEX,Midcap,Services
29-11-2024,AEGISLOG,Largecap,Services
29-11-2024,RAMCOCEM,Largecap,Industrials
29-11-2024,TIRUMALCHM,Smallcap,Industrials
29-11-2024,BBOX,Midcap,I.T
29-11-2024,LLOYDSME,Largecap,Industrials
29-11-2024,WINDMACHIN,Smallcap,FMCG
29-11-2024,HIKAL,Smallcap,Pharmaceuticals
29-11-2024,CAPLIPOINT,Midcap,Pharmaceuticals
29-11-2024,SOLARA,Smallcap,Pharmaceuticals
29-11-2024,PANACEABIO,Smallcap,Pharmaceuticals
29-11-2024,INDRAMEDCO,Smallcap,Pharmaceuticals
29-11-2024,RSYSTEMS,Midcap,I.T
29-11-2024,TIMETECHNO,Midcap,FMCG
29-11-2024,REFEX,Midcap,Services
29-11-2024,ASHOKA,Midcap,Realty
29-11-2024,ZUARI,Smallcap,Industrials
29-11-2024,JUBLINGREA,Midcap,Industrials
29-11-2024,WINDLAS,Smallcap,Pharmaceuticals
02-12-2024,INDIAGLYCO,Midcap,FMCG
02-12-2024,BBOX,Midcap,I.T
02-12-2024,GENESYS,Smallcap,I.T
02-12-2024,ASALCBR,Smallcap,FMCG
02-12-2024,COSMOFIRST,Smallcap,Services
02-12-2024,PAKKA,Smallcap,Industrials
02-12-2024,SALZERELEC,Smallcap,FMCG
02-12-2024,IGARASHI,Smallcap,FMCG
02-12-2024,KAYNES,Largecap,FMCG
02-12-2024,TRANSWORLD,Smallcap,Services
02-12-2024,SIMPLEXINF,Smallcap,Realty
02-12-2024,KABRAEXTRU,Smallcap,FMCG
02-12-2024,WANBURY,Smallcap,Pharmaceuticals
02-12-2024,DIXON,Largecap,FMCG
02-12-2024,HIKAL,Smallcap,Pharmaceuticals
02-12-2024,EMSLIMITED,Smallcap,Realty
02-12-2024,OPTIEMUS,Midcap,Services
02-12-2024,GENUSPOWER,Midcap,FMCG
02-12-2024,STERTOOLS,Smallcap,Industrials
02-12-2024,SGIL,Smallcap,Industrials
02-12-2024,RITCO,Smallcap,Services
02-12-2024,AFFLE,Largecap,I.T
02-12-2024,GEPIL,Smallcap,Realty
02-12-2024,IZMO,Smallcap,I.T
02-12-2024,OFSS,Largecap,I.T
02-12-2024,JKCEMENT,Largecap,Industrials
02-12-2024,GEECEE,Smallcap,Realty
02-12-2024,DLINKINDIA,Smallcap,Services
02-12-2024,ZUARI,Smallcap,Industrials
02-12-2024,CIGNITITEC,Smallcap,I.T
02-12-2024,ACUTAAS,Smallcap,Pharmaceuticals
02-12-2024,MEDPLUS,Midcap,FMCG
03-12-2024,ARVIND,Midcap,Textiles
03-12-2024,GHCL,Midcap,Industrials
03-12-2024,ELECON,Midcap,FMCG
03-12-2024,SUDARSCHEM,Midcap,Industrials
03-12-2024,GARFIBRES,Midcap,Textiles
03-12-2024,HARSHA,Smallcap,Auto
03-12-2024,GVT&D,Largecap,FMCG
03-12-2024,WANBURY,Smallcap,Pharmaceuticals
03-12-2024,EPACK,Smallcap,FMCG
03-12-2024,CLSEL,Smallcap,FMCG
03-12-2024,INDRAMEDCO,Smallcap,Pharmaceuticals
03-12-2024,NITINSPIN,Smallcap,Textiles
03-12-2024,KIRIINDUS,Smallcap,Industrials
03-12-2024,MONTECARLO,Smallcap,Textiles
03-12-2024,BLS,Midcap,I.T
03-12-2024,GNA,Smallcap,Auto
04-12-2024,XPROINDIA,Smallcap,Services
04-12-2024,AGI,Midcap,Services
04-12-2024,SPMLINFRA,Smallcap,Realty
04-12-2024,NELCO,Smallcap,Telecom
04-12-2024,SARDAEN,Midcap,Metals
04-12-2024,JAICORPLTD,Smallcap,FMCG
04-12-2024,SIMPLEXINF,Smallcap,Realty
04-12-2024,GOLDIAM,Smallcap,Miscellaneous
04-12-2024,KHADIM,Smallcap,FMCG
04-12-2024,SKYGOLD,Smallcap,Miscellaneous
04-12-2024,GRSE,Largecap,Aerospace & Defence
04-12-2024,ATULAUTO,Smallcap,Auto
04-12-2024,EKC,Smallcap,Services
04-12-2024,HUBTOWN,Smallcap,Realty
04-12-2024,INDIANB,Largecap,Bank
04-12-2024,TARIL,Midcap,FMCG
